iso3,country,year,pop65_pct,pop65_total,nurses_per_1000,pop_total,gdp_pc_usd,nurse_total_est,elderly_per_nurse_est
CHN,China,1990,5.34515741412924,60677425,0.845,1135185000,318.50335359039,959231.325,63.25630055920036
CHN,China,1991,5.45270392331688,62748626,,1150780000,334.130288119078,,
CHN,China,1992,5.57661794733089,64965926,,1164970000,367.822651903542,,
CHN,China,1993,5.72652985467844,67483718,,1178440000,378.939353053314,,
CHN,China,1994,5.88533298268521,70143458,,1191835000,475.677874448369,,
CHN,China,1995,6.05307366965255,72930761,0.923,1204855000,612.680277898627,1112081.165,65.58043000395568
CHN,China,1996,6.22504804870163,75793073,0.945,1217550000,713.337387811657,1150584.75,65.87352474470046
CHN,China,1997,6.4010690329891,78737950,0.965,1230075000,786.743548510999,1187022.375,66.33232166327109
CHN,China,1998,6.60294649523664,82004304,0.974,1241935000,835.095348597432,1209644.69,67.79205884002187
CHN,China,1999,6.8145142714138,85367805,0.988,1252735000,881.146614068925,1237702.18,68.97281622304325
CHN,China,2000,7.01747574076251,88605807,0.998,1262645000,969.199513696287,1260119.71,70.31538852765028
CHN,China,2001,7.21351682273765,91745114,1.006,1271850000,1065.40597574519,1279481.1,71.70493882246483
CHN,China,2002,7.40162875834336,94770455,0.969,1280400000,1163.55957673426,1240707.6,76.38419801732495
CHN,China,2003,7.57962663220469,97655910,0.978,1288400000,1306.97245408557,1260055.2,77.50129518135397
CHN,China,2004,7.73725110121901,100280577,1.005,1296075000,1530.92726215723,1302555.3749999998,76.98757298514086
CHN,China,2005,7.88962840533466,102858663,1.03,1303720000,1777.64496828464,1342831.6,76.59833370021974
CHN,China,2006,8.05386346846253,105587761,1.082,1311020000,2129.25696999613,1418523.64,74.43496747082763
CHN,China,2007,8.21258625792709,108232442,1.176,1317885000,2734.72709877693,1549832.76,69.83491689774321
CHN,China,2008,8.35535290441098,110679600,1.258,1324655000,3523.44302065213,1666415.99,66.41774962805056
CHN,China,2009,8.49817888668038,113132856,1.382,1331260000,3898.24459158811,1839801.3199999998,61.49188761316902
CHN,China,2010,8.66147143784386,115864936,1.515,1337705000,4629.24551710077,2026623.0749999997,57.171428387096604
CHN,China,2011,8.85916872860311,119158920,1.65,1345035000,5703.76027973346,2219307.75,53.69193163949434
CHN,China,2012,9.08920186808881,123085063,1.823,1354190000,6405.0574241349,2468688.37,49.858485378614226
CHN,China,2013,9.3562686156071,127548396,2.018,1363240000,7147.03518622344,2751018.3199999994,46.36406637960885
CHN,China,2014,9.6661987378912,132606714,2.164,1371860000,7781.06597484974,2968705.04,44.668201189835955
CHN,China,2015,10.053420914992,138723134,2.322,1379860000,8175.33285077393,3204034.92,43.296386420157994
CHN,China,2016,10.4907994645602,145590266,2.498,1387790000,8254.86859320357,3466699.4200000004,41.996795326431844
CHN,China,2017,10.9809606634325,153317820,2.693,1396215000,8979.67652709856,3760006.995,40.77594009901569
CHN,China,2018,11.5162092042497,161544776,2.888,1402760000,10085.6638148819,4051170.88,39.87607059418831
CHN,China,2019,12.0613659717192,169793276,3.123,1407745000,10342.9009524335,4396387.635,38.62108851554897
CHN,China,2020,12.6452376078587,178436948,3.302,1411100000,10627.4637989619,4659452.2,38.29569235628171
CHN,China,2021,13.2057410345267,186512604,3.519,1412360000,12887.4357242941,4970094.84,37.526970813297396
CHN,China,2022,13.781930345649,194624975,3.666,1412175000,12970.6056414327,5177033.55,37.59391804598214
